X,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,FALSE
704,Goomy,Dragon,NA,300,45,50,35,55,75,40,6,FALSE
390,Chimchar,Fire,NA,309,44,58,44,58,44,61,4,FALSE
108,Lickitung,Normal,NA,385,90,55,75,60,75,30,1,FALSE
183,Marill,Water,Fairy,250,70,20,50,20,50,40,2,FALSE
5,Charmeleon,Fire,NA,405,58,64,58,80,65,80,1,FALSE
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,FALSE
237,Hitmontop,Fighting,NA,455,50,95,95,35,110,70,2,FALSE
476,Probopass,Rock,Steel,525,60,55,145,75,150,40,4,FALSE
601,Klinklang,Steel,NA,520,60,100,115,70,85,90,5,FALSE
421,Cherrim,Grass,NA,450,70,60,70,87,78,85,4,FALSE
278,Wingull,Water,Flying,270,40,30,30,55,30,85,3,FALSE
695,Heliolisk,Electric,Normal,481,62,55,52,109,94,109,6,FALSE
302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,3,FALSE
201,Unown,Psychic,NA,336,48,72,48,72,48,48,2,FALSE
475,GalladeMega Gallade,Psychic,Fighting,618,68,165,95,65,115,110,4,FALSE
539,Sawk,Fighting,NA,465,75,125,75,30,75,85,5,FALSE
509,Purrloin,Dark,NA,281,41,50,37,50,37,66,5,FALSE
231,Phanpy,Ground,NA,330,90,60,60,40,40,40,2,FALSE
431,Glameow,Normal,NA,310,49,55,42,42,37,85,4,FALSE
710,PumpkabooLarge Size,Ghost,Grass,335,54,66,70,44,55,46,6,FALSE
395,Empoleon,Water,Steel,530,84,86,88,111,101,60,4,FALSE
173,Cleffa,Fairy,NA,218,50,25,28,45,55,15,2,FALSE
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,FALSE
427,Buneary,Normal,NA,350,55,66,44,44,56,85,4,FALSE
434,Stunky,Poison,Dark,329,63,63,47,41,41,74,4,FALSE
411,Bastiodon,Rock,Steel,495,60,52,168,47,138,30,4,FALSE
515,Panpour,Water,NA,316,50,53,48,53,48,64,5,FALSE
657,Frogadier,Water,NA,405,54,63,52,83,56,97,6,FALSE
337,Lunatone,Rock,Psychic,440,70,55,65,95,85,70,3,FALSE
372,Shelgon,Dragon,NA,420,65,95,100,60,50,50,3,FALSE
158,Totodile,Water,NA,314,50,65,64,44,48,43,2,FALSE
369,Relicanth,Water,Rock,485,100,90,130,45,65,55,3,FALSE
610,Axew,Dragon,NA,320,46,87,60,30,40,57,5,FALSE
655,Delphox,Fire,Psychic,534,75,69,72,114,100,104,6,FALSE
